"Area","Cod","Ind","Anno","Mese","Val"
"ITA","00000","1100",2008,1,15489485496.26
"ITA","00000","1200",2008,1,5769389974.08
"ITA","00000","1300",2008,1,5799590704.21
"ITA","00000","1400",2008,1,15459284766.13
"ITA","00000","1500",2008,1,2173715215.15
"ITA","00000","1600",2008,1,234463088.85
"ITA","00000","1700",2008,1,332400469.78
"ITA","00000","1800",2008,1,51540841.09
"ITA","00000","1900",2008,1,12534828644.79
"ITA","00000","1100",2008,2,15511430542.23
"ITA","00000","1200",2008,2,10578274176.09
"ITA","00000","1300",2008,2,12458406569.61
"ITA","00000","1400",2008,2,13631298148.71
"ITA","00000","1500",2008,2,1939956846.3
"ITA","00000","1600",2008,2,270852888.75
"ITA","00000","1700",2008,2,473047337.83
"ITA","00000","1800",2008,2,46584185.43
"ITA","00000","1900",2008,2,11152939885.24
"ITA","00000","1100",2008,3,15522935955.6
"ITA","00000","1200",2008,3,15699033080.64
"ITA","00000","1300",2008,3,18239064753.01
"ITA","00000","1400",2008,3,12982904283.23
"ITA","00000","1500",2008,3,1737843399.86
"ITA","00000","1600",2008,3,251017978.96
"ITA","00000","1700",2008,3,532143145.03
"ITA","00000","1800",2008,3,129013247.26
"ITA","00000","1900",2008,3,10832965756.54
"ITA","00000","1100",2008,4,14720400173.25
"ITA","00000","1200",2008,4,21602870276.04
"ITA","00000","1300",2008,4,23111581495.86
"ITA","00000","1400",2008,4,13211688953.43
"ITA","00000","1500",2008,4,1656018593.56
"ITA","00000","1600",2008,4,255167626.29
"ITA","00000","1700",2008,4,435415422.56
"ITA","00000","1800",2008,4,54603253.82
"ITA","00000","1900",2008,4,10918219457.57
"ITA","00000","1100",2008,5,14722866604.27
"ITA","00000","1200",2008,5,27709518833.91
"ITA","00000","1300",2008,5,29723437204.71
"ITA","00000","1400",2008,5,12708948233.47
"ITA","00000","1500",2008,5,1535002293.05
"ITA","00000","1600",2008,5,263446670.05
"ITA","00000","1700",2008,5,409001221.59
"ITA","00000","1800",2008,5,100897047.1
"ITA","00000","1900",2008,5,10619774902.12
"ITA","00000","1100",2008,6,14582909327.76
"ITA","00000","1200",2008,6,36695632046.54
"ITA","00000","1300",2008,6,37860493822.87
"ITA","00000","1400",2008,6,13418047551.43
"ITA","00000","1500",2008,6,1798559826.45
"ITA","00000","1600",2008,6,1417462655.86
"ITA","00000","1700",2008,6,1889405649.64
"ITA","00000","1800",2008,6,240098951.68
"ITA","00000","1900",2008,6,11647111465.09
"ITA","00000","1100",2008,7,14659265121.36
"ITA","00000","1200",2008,7,44543307809.33
"ITA","00000","1300",2008,7,44833262694.32
"ITA","00000","1400",2008,7,14369310236.37
"ITA","00000","1500",2008,7,1852032086.59
"ITA","00000","1600",2008,7,292233798.96
"ITA","00000","1700",2008,7,378130723.92
"ITA","00000","1800",2008,7,454059970.23
"ITA","00000","1900",2008,7,12286087198.24
"ITA","00000","1100",2008,8,15564137626.62
"ITA","00000","1200",2008,8,53222572229.18
"ITA","00000","1300",2008,8,53113262006.22
"ITA","00000","1400",2008,8,15673447849.58
"ITA","00000","1500",2008,8,1926439948.36
"ITA","00000","1600",2008,8,215149546.42
"ITA","00000","1700",2008,8,388438806.72
"ITA","00000","1800",2008,8,59513511.1
"ITA","00000","1900",2008,8,13306567531.11
"ITA","00000","1100",2008,9,15574394568.22
"ITA","00000","1200",2008,9,58171726002.86
"ITA","00000","1300",2008,9,58887271675.92
"ITA","00000","1400",2008,9,14858848895.16
"ITA","00000","1500",2008,9,1878322113.23
"ITA","00000","1600",2008,9,352310056.45
"ITA","00000","1700",2008,9,549403069.58
"ITA","00000","1800",2008,9,69884139.9
